Nro,OpenML dataset name,OpenML id,OpenML task,UCI Dataset name,Binary,Balanced,Artificial,Features,Examples,Classes,% Maj Class
40,hayes-roth,329,3491,hayes-roth,Multiclass,Balanced,Real,4,160,3,0.41
41,heart-c,49,48,heart-disease-processed-cleveland,Multiclass,Balanced,Real,13,303,5,0.54
42,heart-h,51,50,heart-disease-processed-hungarian,Binary,Balanced,Real,13,294,2,0.64
43,heart-long-beach,1512,9947,heart-disease-processed-va,Multiclass,Balanced,Real,13,200,5,0.28
44,heart-h v.3 (version 3),1565,9894,heart-disease-reprocessed-hungarian,Multiclass,Balanced,Real,13,294,5,0.64
45,hepatitis,55,54,hepatitis,Binary,Imbalanced,Real,19,155,2,0.79
46,hill-valley,1479,9970,hill-valley-with-noise,Binary,Balanced,Real,100,1212,2,0.5
47,colic,25,25,horse-colic-surgical,Binary,Balanced,Real,27,300,2,0.64
48,ilpd,1480,9971,indian-liver-patient,Binary,Balanced,Real,10,583,2,0.71
49,ionosphere,59,57,ionosphere,Binary,Balanced,Real,33,351,2,0.64
50,iris,61,59,iris,Multiclass,Balanced,Real,4,150,3,0.33
51,kr-vc-kp,3,3,kr-vs-kp,Binary,Balanced,Real,36,3196,2,0.52
52,LED-display-domain-7digit,40496,125921,led7digit,Multiclass,Balanced,Artificial,7,500,10,0.11
53,lsvt,1484,9975,lsvt-voice-rehabilitation,Binary,Balanced,Real,310,126,2,0.67
54,mammography,310,3483,mammographic-mass,Binary,Balanced,Real,5,961,2,0.54
55,meta,566,4729,meta-data,Multiclass,Balanced,Real,21,528,24,0.04
56,mfeat-fourier,14,14,mfeat-fourier,Multiclass,Balanced,Real,76,2000,10,0.1
57,micro-mass,1514,9949,micro-mass-mixed-spectra,Multiclass,Balanced,Real,1300,360,10,0.1
58,molecular-biology-promoters,164,2373,molecular-promotor-gene,Binary,Balanced,Real,57,106,2,0.5
59,splice,46,45,molecular-splice-junction,Multiclass,Imbalanced,Real,62,3190,3,0.52
60,monks-problems-1,333,3492,monks1,Binary,Balanced,Real,6,556,2,0.5
61,monks-problems-2,334,3493,monks2,Binary,Balanced,Real,6,601,2,0.66
62,monks-problems-3,335,3494,monks3,Binary,Balanced,Real,6,554,2,0.52
63,libras-move v.2,40736,145797,movement-libras,Multiclass,Balanced,Real,90,360,15,0.07
64,mfeat-factors,12,12,multiple-features,Multiclass,Balanced,Artificial,217,2000,10,0.1
65,mushroom,24,24,mushroom,Binary,Balanced,Real,21,8124,2,0.52
66,nursery (v.3),1568,9892,nursery-4class,Multiclass,Imbalanced,Real,9,12958,4,0.33
67,optdigits,28,28,optdigits,Multiclass,Balanced,Real,62,5620,10,0.1
68,ozone-level-8hr,1487,9978,ozone-eighthr,Binary,Imbalanced,Real,72,2534,2,0.94
69,ozone_level v.2,40735,145796,ozone-onehr,Binary,Imbalanced,Real,72,2536,2,0.97
70,page-blocks,30,30,page-blocks,Multiclass,Imbalanced,Real,10,5473,5,0.9
71,parkinsons,1488,9951,parkinsons,Binary,Balanced,Real,22,195,2,0.75
72,phoneme,1489,9952,phoneme,Binary,Balanced,Real,5,5404,2,0.71
73,one-hundred-plants-margin,1491,9954,plant-species-leaves-margin,Multiclass,Balanced,Real,65,1600,100,0.01
74,one-hundred-plants-shape,1492,9955,plant-species-leaves-shape,Multiclass,Balanced,Real,65,1600,100,0.01
75,one-hundred-plants-texture,1493,9956,plant-species-leaves-texture,Multiclass,Balanced,Real,65,1599,100,0.01
76,wall-robot-navigation v.3 (version 3),1526,9942,robot-nav-sensor-readings-4,Multiclass,Balanced,Real,4,5456,4,0.4
77,sa-heart,1498,9961,saheart,Binary,Balanced,Real,9,462,2,0.65
78,seeds,1499,9962,seeds,Multiclass,Balanced,Real,7,210,3,0.33
79,semeion,1501,9964,semeion,Multiclass,Balanced,Real,257,1593,10,0.1
80,credit-g,31,31,statlog-german-credit,Binary,Balanced,Real,20,1000,2,0.7
81,heart-statlog,53,52,statlog-heart,Binary,Balanced,Real,13,270,2,0.56
82,segment,36,36,statlog-image-segmentation,Multiclass,Balanced,Real,18,2310,7,0.14
83,satellite_image v.2,40734,145794,statlog-landsat-satellite,Multiclass,Balanced,Real,36,2859,6,0.3
84,vehicle,54,53,statlog-vehicle-silhouettes,Multiclass,Balanced,Real,18,846,4,0.26
85,steel-plates-fault,1504,9967,steel-plates-faults,Binary,Balanced,Real,33,1941,2,0.65
86,tae,48,47,teaching-assistant-evaluation,Multiclass,Balanced,Real,5,151,3,0.34
87,texture,40499,125922,texture,Multiclass,Balanced,Real,40,5500,11,0.09
88,thoracic-surgery,1506,9969,thoracic-surgery,Binary,Imbalanced,Real,16,470,2,0.85
89,thyroid-allbp,40474,145680,thyroid-allbp,Multiclass,Balanced,Real,26,2800,5,0.58
90,thyroid-allhyper,40475,145792,thyroid-allhyper,Multiclass,Balanced,Real,26,2800,5,0.58
91,user-knowledge,1508,9944,user-knowledge,Multiclass,Imbalanced,Real,6,403,5,0.32
92,vertebra-column,1523,9939,vertebra-column-3c,Multiclass,Balanced,Real,6,310,3,0.48
93,wine,187,2382,wine,Multiclass,Balanced,Real,14,178,3,0.39
94,yeast (version v.7),40733,145793,yeast-4class,Multiclass,Imbalanced,Real,8,1484,4,0.36
